label,message
work,Please review the quarterly financial report today
spam,Claim your free shopping voucher immediately
advertisement,Buy stylish sunglasses with huge discounts
work,The client meeting has been moved to Monday
spam,You won free movie tickets click now
advertisement,Upgrade your laptop with latest technology
work,Complete the machine learning assignment before deadline
advertisement,Join our online yoga classes today
spam,Exclusive reward waiting for your confirmation
work,Please submit the employee attendance sheet
spam,Win exciting cash prizes by registering now
advertisement,Fresh bakery items available with home delivery
work,Schedule a discussion with the development team
advertisement,Travel abroad with affordable holiday packages
spam,Your number has been selected for lucky draw
work,Update project presentation slides before meeting
advertisement,Purchase premium smartphones at low prices
spam,Get free recharge by clicking this secure link
advertisement,Discover healthy organic food products online
work,Prepare monthly performance analysis for manager
spam,Limited time bonus offer claim today
work,The software deployment starts at midnight
advertisement,Enjoy delicious burgers at our restaurant
spam,Verify your account and receive instant rewards
advertisement,Learn programming from industry experts online
work,Please organize the office inventory records
spam,Free gift cards available for selected customers
work,Client requested modifications in the business proposal
advertisement,Special discounts available on fashion products
spam,Congratulations you have won a luxury vacation
advertisement,Buy smart watches with health tracking features
work,The HR department scheduled interview sessions
spam,Claim your bonus reward before it expires
work,Finish cleaning the dataset before training model
advertisement,Explore premium skincare products for glowing skin
spam,Your account received a special cashback offer
work,Please update sales data in Excel sheet
advertisement,Join our fitness center with yearly membership
spam,Exclusive casino rewards available register today
advertisement,Order fresh vegetables directly from farms
work,Manager requested revised marketing strategy documents
spam,Click here to activate your free membership
advertisement,Subscribe now for unlimited music streaming
work,The technical support team resolved server issues
spam,Your lottery reward is waiting for verification
advertisement,Book luxury hotels at affordable prices
work,Prepare detailed notes for tomorrow presentation
spam,Special promotion available only for premium users
advertisement,Purchase gaming accessories with festive discounts
work,Send updated invoice details to finance department
